1 73.64 123.58 172.76
2 73.63 123.64 172.68
3 73.68 123.58 172.68
4 73.64 123.54 172.67
5 73.49 123.73 172.75
6 73.29 123.82 172.73
7 73.15 123.73 172.66
8 73.15 123.78 172.5
9 73.12 123.88 172.36
10 72.97 124.01 172.22
11 72.82 123.97 172.13
12 72.81 123.68 171.88
13 72.52 123.24 170.93
14 72.19 123.01 169.9
15 71.77 122.69 169.38
16 71.97 122.26 169.01
17 72.21 122.5 168.66
18 72.33 122.88 168.55
19 72.15 122.62 168.83
20 72.07 122.35 168.94
21 72.1 122.25 168.88
22 72.2 122.22 168.78
23 72.23 122.23 168.83
24 72.27 122.11 168.78
25 72.22 121.99 168.68
26 72.17 121.95 168.68
27 72.2 121.97 168.65
28 72.17 121.85 168.52
29 72.13 121.88 168.53
30 72.02 121.83 168.55
31 72 121.93 168.63
32 71.99 122.07 168.51
33 71.96 121.98 168.51
34 71.95 121.88 168.54
35 71.82 121.84 168.68
36 71.82 121.86 168.78
37 71.9 121.84 168.67
38 71.93 121.77 168.67
39 71.93 121.72 168.76
40 71.88 121.73 168.9
41 71.93 121.6 168.95
42 72.02 121.58 168.91
43 72.13 121.72 168.98
44 72.15 121.84 169.18
45 72.16 121.72 169.22
46 72.17 121.68 169.12
47 72.14 122.07 169.01
48 71.99 121.95 169.33
49 72.12 121.58 169.98
50 72.33 121.69 170.39
51 72.4 122.03 170.73
52 72.4 122.17 170.96
53 73.29 123.47 172.07
54 73.22 123.13 172.14
55 72.47 122.17 171.64
56 72.33 121.96 171.4
57 72.31 122.01 171.13
58 72.33 122.09 170.96
59 72.34 122.32 170.81
60 72.33 122.51 170.7
61 72.39 122.63 170.63
62 72.4 122.65 170.63
63 72.5 122.71 170.55
64 72.47 122.53 170.34
65 72.36 122.43 170.25
66 72.29 122.22 170.12
67 72.24 122.1 169.87
68 72.28 122.16 169.7
69 72.28 122.3 169.51
70 72.15 122.3 169.33
71 72.08 122.32 169.27
72 72.08 122.31 169.25
73 72.07 122.34 169.12
74 71.98 122.57 169.11
75 72.02 122.78 169.35
76 72.05 122.81 169.38
77 72 122.79 169.41
78 72.15 122.97 169.44
79 72.13 122.9 169.5
80 72.14 122.93 169.45
81 72.17 122.89 169.39
82 72.12 122.83 169.53
83 72.22 122.76 169.83
84 72.33 122.85 169.63
85 72.28 123.04 169.58
86 72.25 123.23 169.81
87 72.25 123.23 169.93
88 72.17 123.12 169.94
89 72.19 123.15 170.13
90 72.33 123.36 170.09
91 72.33 123.52 169.88
92 72.31 123.56 170.07
93 72.37 123.63 170.33
94 72.5 123.63 170.39
95 72.46 123.75 170.52
96 72.52 123.89 170.68
97 72.54 123.96 170.75
98 72.53 123.82 170.93
99 72.57 123.61 171.22
100 72.63 123.58 170.99
101 72.58 123.75 171.07
102 72.74 123.86 171.33
103 72.8 123.91 171.31
104 72.79 123.97 171.35
105 72.87 124.04 171.61
106 73.04 124.2 171.71
107 73.1 124.37 171.71
108 73.09 124.34 171.72
109 73.07 124.39 171.74
110 73.06 124.33 171.68
111 73.01 124.36 171.43
112 72.93 124.43 171.32
113 72.77 124.23 171.12
114 72.69 124.13 170.87
115 72.49 123.84 170.38
116 72.33 123.7 170.1
117 72.28 123.53 169.79
118 72.17 123.44 169.52
119 72.17 123.36 169.47
120 72.17 123.23 169.26
121 72.25 123.39 169.27
122 72.38 123.68 169.58
123 72.39 124.02 169.89
124 72.47 124.07 170.18
125 72.53 124.13 170.45
126 72.53 124.26 170.72
127 72.56 124.31 170.69
128 72.54 124.38 170.82
129 72.71 124.42 170.9
130 72.67 124.43 170.99
131 72.74 124.49 171.09
132 72.83 124.62 171.09
133 72.97 124.85 171.11
134 73.1 125 171.38
135 73.29 125 171.59
136 73.53 125.03 171.72
137 73.73 125.16 171.57
138 73.93 125.42 171.71
139 73.96 125.47 171.81
140 73.82 125.22 171.87
141 73.72 124.87 171.77
142 73.75 124.56 171.48
143 73.78 124.64 171.32
144 73.88 124.73 171.15
145 73.83 124.75 171.03
146 73.83 124.53 170.84
147 73.69 124.32 170.76
148 73.62 124.16 170.65
149 73.62 124.03 170.57
150 73.54 123.95 170.27
151 73.53 123.97 170.14
152 73.42 123.69 170.2
153 73.36 123.36 170.2
154 73.23 123.22 169.95
155 73.2 123.13 169.8
156 73.18 122.98 169.72
157 73.07 122.94 169.77
158 72.95 122.87 169.81
159 72.96 122.99 169.77
160 73.03 123.03 169.63
161 73.03 123.15 169.77
162 73.02 123.06 169.79
163 72.9 123.08 169.86
164 72.85 123.2 169.88
165 72.86 123.33 169.79
166 72.92 123.33 169.69
167 73.05 123.63 169.78
168 73.14 123.91 169.98
169 73.28 124.07 170.14
170 73.27 124.06 170.24
171 73.37 124.15 170.48
172 73.47 124.24 170.64
173 73.45 124.42 170.77
174 73.45 124.32 170.77
175 73.48 124.23 170.8
176 73.55 124.16 170.78
177 73.58 124.14 170.76
