1 73.64 123.58
2 73.63 123.64
3 73.68 123.58
4 73.64 123.54
5 73.49 123.73
6 73.29 123.82
7 73.15 123.73
8 73.15 123.78
9 73.12 123.88
10 72.97 124.01
11 72.82 123.97
12 72.81 123.68
13 72.52 123.24
14 72.19 123.01
15 71.77 122.69
16 71.97 122.26
17 72.21 122.5
18 72.33 122.88
19 72.15 122.62
20 72.07 122.35
21 72.1 122.25
22 72.2 122.22
23 72.23 122.23
24 72.27 122.11
25 72.22 121.99
26 72.17 121.95
27 72.2 121.97
28 72.17 121.85
29 72.13 121.88
30 72.02 121.83
31 72 121.93
32 71.99 122.07
33 71.96 121.98
34 71.95 121.88
35 71.82 121.84
36 71.82 121.86
37 71.9 121.84
38 71.93 121.77
39 71.93 121.72
40 71.88 121.73
41 71.93 121.6
42 72.02 121.58
43 72.13 121.72
44 72.15 121.84
45 72.16 121.72
46 72.17 121.68
47 72.14 122.07
48 71.99 121.95
49 72.12 121.58
50 72.33 121.69
51 72.4 122.03
52 72.4 122.17
53 73.29 123.47
54 73.22 123.13
55 72.47 122.17
56 72.33 121.96
57 72.31 122.01
58 72.33 122.09
59 72.34 122.32
60 72.33 122.51
61 72.39 122.63
62 72.4 122.65
63 72.5 122.71
64 72.47 122.53
65 72.36 122.43
66 72.29 122.22
67 72.24 122.1
68 72.28 122.16
69 72.28 122.3
70 72.15 122.3
71 72.08 122.32
72 72.08 122.31
73 72.07 122.34
74 71.98 122.57
75 72.02 122.78
76 72.05 122.81
77 72 122.79
78 72.15 122.97
79 72.13 122.9
80 72.14 122.93
81 72.17 122.89
82 72.12 122.83
83 72.22 122.76
84 72.33 122.85
85 72.28 123.04
86 72.25 123.23
87 72.25 123.23
88 72.17 123.12
89 72.19 123.15
90 72.33 123.36
91 72.33 123.52
92 72.31 123.56
93 72.37 123.63
94 72.5 123.63
95 72.46 123.75
96 72.52 123.89
97 72.54 123.96
98 72.53 123.82
99 72.57 123.61
100 72.63 123.58
101 72.58 123.75
102 72.74 123.86
103 72.8 123.91
104 72.79 123.97
105 72.87 124.04
106 73.04 124.2
107 73.1 124.37
108 73.09 124.34
109 73.07 124.39
110 73.06 124.33
111 73.01 124.36
112 72.93 124.43
113 72.77 124.23
114 72.69 124.13
115 72.49 123.84
116 72.33 123.7
117 72.28 123.53
118 72.17 123.44
119 72.17 123.36
120 72.17 123.23
121 72.25 123.39
